ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
783,-2099,391,0,-925
795,-2222,404,1,-1023
855,-2229,344,2,-1030
906,-2270,323,3,-1041
884,-2315,282,4,-1149
881,-2290,288,5,-1121
865,-2312,313,6,-1134
829,-2268,351,7,-1088
870,-2298,371,8,-1057
927,-2324,292,9,-1105
910,-2289,309,10,-1070
879,-2263,390,11,-994
816,-2211,434,12,-961
789,-2177,501,13,-887
862,-2186,489,14,-835
908,-2200,412,15,-880
905,-2198,308,16,-985
910,-2139,276,17,-953
917,-2129,264,18,-948
937,-2151,214,19,-1000
948,-2109,352,20,-809
946,-2187,458,21,-783
984,-2225,421,22,-820
998,-2258,383,23,-877
930,-2285,376,24,-979
796,-2199,427,25,-976
815,-2240,428,26,-997
809,-2248,395,27,-1044
760,-2228,339,28,-1129
849,-2251,342,29,-1060
809,-2219,372,30,-1038
819,-2238,290,31,-1129
775,-2205,306,32,-1124
685,-2150,294,33,-1171
752,-2181,162,34,-1267
758,-2173,179,35,-1236
785,-2181,254,36,-1142
821,-2221,335,37,-1065
818,-2298,342,38,-1138
787,-2334,292,39,-1255
701,-2212,383,40,-1128
710,-2192,404,41,-1078
801,-2264,326,42,-1137
822,-2312,304,43,-1186
805,-2256,262,44,-1189
807,-2189,208,45,-1174
853,-2245,159,46,-1233
995,-2275,191,47,-1089
1075,-2297,272,48,-950
1007,-2234,284,49,-943
1013,-2235,323,50,-899
1009,-2307,258,51,-1040
998,-2284,204,52,-1082
1012,-2208,243,53,-953
975,-2170,237,54,-958
991,-2214,356,55,-867
965,-2231,423,56,-843
933,-2205,474,57,-798
868,-2146,507,58,-771
806,-2147,511,59,-830
706,-2129,596,60,-827
658,-2126,486,61,-982
777,-2168,403,62,-988
755,-2215,370,63,-1090
841,-2262,258,64,-1163
862,-2326,251,65,-1213
798,-2369,261,66,-1310
887,-2356,253,67,-1216
809,-2435,278,68,-1348
803,-2398,289,69,-1306
776,-2360,350,70,-1234
739,-2359,443,71,-1177
763,-2280,461,72,-1056
674,-2267,538,73,-1055
646,-2210,565,74,-999
668,-2186,475,75,-1043
712,-2232,440,76,-1080
700,-2214,439,77,-1075
697,-2154,412,78,-1045
726,-2151,306,79,-1119
788,-2195,283,80,-1124
760,-2186,299,81,-1127
792,-2209,246,82,-1171
877,-2273,225,83,-1171
875,-2333,188,84,-1270
1016,-2340,179,85,-1145
984,-2325,220,86,-1121
1040,-2355,289,87,-1026
1080,-2349,338,88,-931
1007,-2312,366,89,-939
1035,-2203,442,90,-726
947,-2232,463,91,-822
1007,-2246,432,92,-807
940,-2174,467,93,-767
841,-2132,481,94,-810
822,-2075,417,95,-836
805,-2173,342,96,-1026
802,-2200,284,97,-1114
717,-2161,304,98,-1140
804,-2220,290,99,-1126
794,-2309,255,100,-1260
813,-2281,259,101,-1209
837,-2253,298,102,-1118
806,-2301,401,103,-1094
880,-2375,407,104,-1088
827,-2384,441,105,-1116
833,-2288,461,106,-994
838,-2309,439,107,-1032
888,-2328,528,108,-912
962,-2376,526,109,-888
929,-2341,484,110,-928
896,-2283,348,111,-1039
815,-2270,172,112,-1283
761,-2128,197,113,-1170
786,-2111,197,114,-1128
819,-2128,137,115,-1172
866,-2176,135,116,-1175
952,-2137,203,117,-982
901,-2012,349,118,-762
861,-2092,438,119,-793
859,-2165,424,120,-882
834,-2262,413,121,-1015
865,-2228,453,122,-910
852,-2165,465,123,-848
903,-2244,345,124,-996
906,-2240,246,125,-1088
883,-2206,301,126,-1022
910,-2141,305,127,-926
935,-2186,273,128,-978
931,-2237,319,129,
867,-2182,373,130,
829,-2181,423,131,
776,-2267,441,132,
786,-2273,389,133,
765,-2231,313,134,
715,-2239,303,135,
733,-2249,313,136,
727,-2238,334,137,
660,-2176,338,138,
605,-2196,311,139,
667,-2228,307,140,
688,-2309,265,141,
774,-2324,230,142,
847,-2223,253,143,
840,-2253,353,144,
872,-2296,410,145,
837,-2352,300,146,
868,-2405,227,147,
817,-2403,254,148,
848,-2426,262,149,
950,-2420,262,150,
908,-2358,299,151,
942,-2290,396,152,
960,-2225,474,153,
1048,-2190,444,154,
1073,-2162,413,155,
969,-2106,416,156,
930,-2105,432,157,
872,-2133,402,158,
874,-2149,337,159,
907,-2179,335,160,
934,-2212,304,161,
958,-2227,298,162,
959,-2227,330,163,
936,-2278,359,164,
907,-2295,406,165,
868,-2275,383,166,
789,-2259,333,167,
775,-2267,293,168,
717,-2291,285,169,
676,-2244,339,170,
694,-2167,385,171,
705,-2133,427,172,
756,-2141,414,173,
776,-2103,306,174,
743,-2076,293,175,
703,-2086,312,176,
750,-2144,308,177,
730,-2187,356,178,
789,-2179,345,179,
857,-2236,316,180,
874,-2343,218,181,
994,-2341,181,182,
945,-2288,326,183,
933,-2274,376,184,
936,-2229,416,185,
903,-2263,490,186,
